country,date,GDP per Capita,R&D Expenditures,,,GDP per Capita,R&D Expenditures
Argentina,2014,18797.5479465897,0.58852,,,4.2741012012,-0.2302387737
Argentina,2013,19482.190295091,0.62017,,,4.2896377811,-0.2074892461
Argentina,2012,19224.8743997107,0.63596,,,4.2838635111,-0.1965701993
Argentina,2011,19629.3518451916,0.56648,,,4.2929059596,-0.2468154186
Argentina,2010,18712.0630773436,0.56126,,,4.2721216728,-0.2508359081
Argentina,2009,17168.3789365496,0.58608,,,4.2347292904,-0.2320430987
Argentina,2008,18436.8624668727,0.47041,,,4.265687016,-0.3275234546
Argentina,2007,17900.7063421587,0.45801,,,4.2528701681,-0.3391250397
Argentina,2006,16592.264892395,0.45021,,,4.2199056725,-0.3465848627
Argentina,2005,15518.6785097698,0.41897,,,4.1908547362,-0.3778170732
Argentina,2004,14410.1505153775,0.40386,,,4.1586685171,-0.3937691591
Argentina,2003,13361.4000434323,0.41003,,,4.1258519671,-0.3871843668
Argentina,2002,12412.6059887095,0.38834,,,4.0938629699,-0.4107878737
Argentina,2001,14085.5751760246,0.42413,,,4.1487745858,-0.3725010075
Argentina,2000,14899.8700458711,0.43915,,,4.1731824806,-0.3573871129
Armenia,2009,6532.9642305979,0.29109,,,3.8151102803,-0.5359727139
Armenia,2008,7558.361647802,0.22427,,,3.8784276679,-0.6492288169
Armenia,2007,7010.6270559639,0.21102,,,3.8457568646,-0.6756763813
Armenia,2006,6110.2261914071,0.24023,,,3.7860572875,-0.6193727587
Armenia,2005,5356.6144237133,0.25794,,,3.7288903864,-0.5884813045
Armenia,2004,4673.9847258369,0.25631,,,3.6696872888,-0.5912344494
Armenia,2003,4206.9751175661,0.32201,,,3.6239699434,-0.4921306411
Armenia,2002,3669.4433904878,0.25301,,,3.5646001921,-0.5968623134
Armenia,2001,3224.1412752711,0.27889,,,3.5084140634,-0.5545670577
Armenia,2000,2924.7473797168,0.19131,,,3.4660883606,-0.7182623283
Armenia,2015,8195.9336495657,0.25069,,,3.9135984339,-0.6008629897
Armenia,2014,7971.1179276216,0.24144,,,3.9015192343,-0.6171907776
Armenia,2013,7727.9290915621,0.22195,,,3.8880631285,-0.6537448506
Armenia,2012,7511.1324821474,0.23833,,,3.8757054222,-0.622821287
Armenia,2011,7022.1039433839,0.27,,,3.8464672537,-0.5686362358
Armenia,2010,6702.8480062794,0.2414,,,3.8262593714,-0.6172627342
Australia,2013,42867.167107896,2.20207,,,4.632124784,0.3428311203
Australia,2011,41782.2849420662,2.24574,,,4.6209921865,0.3513594745
Australia,2010,41384.9235523277,2.37808,,,4.6168421573,0.3762264604
Australia,2008,41316.6000535698,2.39823,,,4.6161245762,0.3798908314
Australia,2006,39426.0204015126,2.18208,,,4.5957829423,0.3388706688
Australia,2004,38148.9191860349,1.85465,,,4.5814822383,0.2682619639
Australia,2002,36400.7274378688,1.75453,,,4.5611100627,0.2441607984
Australia,2000,35281.3953623126,1.57596,,,4.5475457529,0.1975451903
Austria,2015,44353.8752139122,3.07181,,,4.6469315703,0.4873943499
Austria,2014,44345.3096528388,3.06054,,,4.6468476918,0.4857980599
Austria,2013,44303.444636945,2.96325,,,4.6464374944,0.4717682931
Austria,2012,44551.6175741173,2.92992,,,4.648863477,0.4668557623
Austria,2011,44452.7327457999,2.67843,,,4.6478984645,0.4278803007
Austria,2010,43336.1978527647,2.73439,,,4.6368508054,0.4368604571
Austria,2009,42618.5288387609,2.6153,,,4.6295984541,0.4175215138
Austria,2008,44417.7806037669,2.58495,,,4.6475568546,0.4124521471
Austria,2007,43878.134032345,2.4354,,,4.6422481504,0.3865703017
Austria,2006,42482.1005452241,2.37541,,,4.6282059825,0.3757385804
Austria,2005,41308.6390980498,2.38332,,,4.6160408875,0.3771823575
Austria,2004,40719.3500830979,2.16923,,,4.6098008377,0.336305602
Austria,2003,39893.3519596778,2.18268,,,4.6009005286,0.338990069
Austria,2002,39787.3057714365,2.0727,,,4.5997445316,0.3165364474
Austria,2001,39332.2488551353,1.99686,,,4.5947487783,0.3003476175
Austria,2000,38956.9807260522,1.89139,,,4.5905852905,0.2767810885
Belarus,2015,17229.5551904045,0.51672,,,4.2362740656,-0.2867447285
Belarus,2014,17944.2098463253,0.52354,,,4.2539243394,-0.2810501313
Belarus,2013,17656.1193383189,0.6737,,,4.2468952556,-0.1715334526
Belarus,2012,17479.9293997571,0.6675,,,4.2425396742,-0.17554873
Belarus,2011,17166.6956434719,0.70097,,,4.2346867074,-0.1543005685
Belarus,2010,16235.1714534334,0.69551,,,4.2104568794,-0.1576966214
Belarus,2009,15035.6996456718,0.64477,,,4.1771236416,-0.1905951777
Belarus,2008,14972.2694585184,0.74028,,,4.1752876346,-0.1306039837
Belarus,2007,13539.6024068277,0.96169,,,4.1316059114,-0.0169648999
Belarus,2006,12410.3301926286,0.66038,,,4.0937833366,-0.1802060881
Belarus,2005,11213.2494312467,0.67817,,,4.0497314829,-0.1686614259
Belarus,2004,10180.0029861629,0.62749,,,4.0077479054,-0.2023931909
Belarus,2003,9072.0661853019,0.61088,,,3.95770621,-0.2140440933
Belarus,2002,8416.0425659621,0.62181,,,3.9251079234,-0.2063422979
Belarus,2001,7960.9860553545,0.70766,,,3.9009668632,-0.1501753519
Belarus,2000,7562.8839987548,0.7224,,,3.8786874391,-0.1412222627
Belgium,2015,41722.9218634283,2.45668,,,4.6203747145,0.3903485902
Belgium,2014,41384.1473316774,2.46249,,,4.6168340115,0.3913744755
Belgium,2013,40928.136605999,2.43512,,,4.6120219723,0.3865203676
Belgium,2012,41046.481185763,2.35915,,,4.613275932,0.3727555552
Belgium,2011,41248.725342013,2.15594,,,4.6154105326,0.3336366702
Belgium,2010,41085.9189401366,2.05137,,,4.613693005,0.3120439999
Belgium,2009,40355.5731175835,1.98413,,,4.6059035194,0.2975701237
Belgium,2008,41619.3400813337,1.92449,,,4.6192951897,0.2843156588
Belgium,2007,41623.4417399595,1.84259,,,4.6193379881,0.2654287099
Belgium,2006,40532.2730382074,1.81239,,,4.6078009595,0.2582516573
Belgium,2005,39802.9722724017,1.78507,,,4.5999155041,0.2516552513
Belgium,2004,39201.5271563108,1.80723,,,4.593302986,0.2570134273
Belgium,2003,37990.7133086751,1.82949,,,4.5796774479,0.26233004
Belgium,2002,37856.8647131311,1.89118,,,4.5781446431,0.2767328664
Belgium,2001,37361.718437763,2.02007,,,4.5724268432,0.305366419
Belgium,2000,37188.6436930907,1.92401,,,4.5704103395,0.2842073249
Brazil,2014,15370.9963698253,1.16755,,,4.18670202,0.0672754882
Brazil,2013,15430.2682759225,1.19828,,,4.1883734769,0.0785583107
Brazil,2012,15118.138451117,1.12795,,,4.1794983183,0.0522898486
Brazil,2011,14973.0984736747,1.14132,,,4.1753116808,0.0574074277
Brazil,2010,14539.0845345652,1.15869,,,4.1625370617,0.0639672588
Brazil,2009,13653.0139581162,1.11968,,,4.1352285342,0.0490939208
Brazil,2008,13806.0149203547,1.12896,,,4.1400683384,0.0526785548
Brazil,2007,13271.0470442056,1.08149,,,4.1229051887,0.0340225081
Brazil,2006,12644.9392239091,0.98784,,,4.1019167463,-0.0053133922
Brazil,2005,12299.3797443019,1.00273,,,4.0898832106,0.0011840085
Brazil,2004,12058.3213738903,0.96233,,,4.0812868543,-0.0166759752
Brazil,2003,11542.5788204106,0.9982,,,4.0623028489,-0.0007824345
Brazil,2002,11560.0372749018,0.97667,,,4.0629592345,-0.0102521521
Brazil,2001,11369.0138803598,1.02879,,,4.0557227967,0.0123267342
Brazil,2000,11370.7294551211,1.00084,,,4.0557883264,0.0003646542
Bulgaria,2015,17000.1672471067,0.95657,,,4.230453194,-0.0192832436
Bulgaria,2014,16302.3128852496,0.79492,,,4.2122492242,-0.0996765761
Bulgaria,2013,15997.3345909471,0.63491,,,4.2040476284,-0.1972878326
Bulgaria,2012,15772.0860006387,0.60479,,,4.1978891365,-0.2183953984
Bulgaria,2011,15676.1441294193,0.53191,,,4.1952392478,-0.2741618448
Bulgaria,2010,15283.2684107728,0.56387,,,4.1842162404,-0.2488210109
Bulgaria,2009,14984.5927868509,0.49566,,,4.1756449453,-0.3048161275
Bulgaria,2008,15442.1377322192,0.4458,,,4.1887074217,-0.3508599359
Bulgaria,2007,14795.878526782,0.42683,,,4.1701407571,-0.3697450635
Bulgaria,2006,13640.5277010349,0.44313,,,4.1348311719,-0.3534688471
Bulgaria,2005,12680.9574782327,0.4434,,,4.1031520463,-0.3532043112
Bulgaria,2004,11736.5517809625,0.472,,,4.0695405192,-0.3260580014
Bulgaria,2003,10931.6655247109,0.47379,,,4.0386863352,-0.3244141099
Bulgaria,2002,10321.3476356398,0.46594,,,4.0137364059,-0.3316700047
Bulgaria,2001,9526.4057012238,0.44861,,,3.9789290729,-0.3481310498
Bulgaria,2000,8958.1025548382,0.49885,,,3.9522160301,-0.3020300234
Canada,2014,43079.1425247165,1.61548,,,4.6342670502,0.2083015857
Canada,2013,42339.3788754169,1.69164,,,4.6267444826,0.2283079458
Canada,2012,41794.5389176845,1.79709,,,4.6211195384,0.2545698275
Canada,2011,41565.2712210369,1.79853,,,4.6187306187,0.2549176864
Canada,2010,40699.3551293841,1.84066,,,4.609587528,0.2649735746
Canada,2009,39924.1959013064,1.91904,,,4.6012361779,0.2830840272
Canada,2008,41611.2508139689,1.8637,,,4.6192107707,0.2703760052
Canada,2007,41647.3878092126,1.91287,,,4.619587767,0.2816854561
Canada,2006,41203.3504026759,1.95161,,,4.6149325316,0.2903930348
Canada,2005,40471.2605251176,1.97345,,,4.6071467312,0.2952261274
Canada,2004,39604.3548611707,2.00594,,,4.5977429432,0.3023179386
Canada,2003,38805.6711138179,1.97528,,,4.5888951986,0.2956286665
Canada,2002,38500.3170770124,1.97782,,,4.5854643062,0.2961867642
Canada,2001,37712.1282353891,2.02921,,,4.5764810419,0.3073269939
Canada,2000,37431.9169780243,1.86873,,,4.5732420689,0.2715465577
Chile,2015,22536.6176878913,0.38444,,,4.3528887374,-0.4151714314
Chile,2014,22226.4524735619,0.37655,,,4.3468701512,-0.4241773481
Chile,2013,21998.3071454447,0.39119,,,4.3423892615,-0.4076122556
Chile,2012,21330.2399109073,0.36486,,,4.3289957402,-0.4378737462
Chile,2011,20437.704525923,0.35436,,,4.3104321161,-0.450555307
Chile,2010,19442.0503154635,0.33098,,,4.2887420627,-0.4801982484
Chile,2009,18547.4615343093,0.35307,,,4.2682844791,-0.4521391824
Chile,2008,19031.6164297818,0.37518,,,4.2794756762,-0.4257603209
Chile,2007,18572.5683881681,0.3106,,,4.2688719662,-0.5077985486
Colombia,2015,12985.3831345266,0.24177,,,4.113454768,-0.6165975895
Colombia,2014,12715.9673914398,0.25053,,,4.1043494055,-0.6011402616
Colombia,2013,12296.2955351848,0.27318,,,4.0897742927,-0.5635510993
Colombia,2012,11840.2404334565,0.21867,,,4.0733605215,-0.6602107951
Colombia,2011,11496.4777054381,0.20294,,,4.0605648014,-0.692632344
Colombia,2010,10900.5052821616,0.18933,,,4.0374466297,-0.7227805651
Colombia,2009,10599.9626049907,0.18956,,,4.0253043331,-0.7222533
Colombia,2008,10547.2603938218,0.19289,,,4.0231396681,-0.7146902869
Colombia,2007,10306.9474882958,0.17704,,,4.0131300634,-0.7519285991
Colombia,2006,9760.1349263068,0.14857,,,3.9894558215,-0.8280688766
Colombia,2005,9263.7301727306,0.14995,,,3.9667858968,-0.8240535299
Colombia,2004,8963.5953293474,0.15342,,,3.9524822416,-0.8141180216
Colombia,2003,8625.2465696916,0.15621,,,3.9357715191,-0.8062911676
Colombia,2002,8415.7591194705,0.13962,,,3.9250932964,-0.8550523663
Colombia,2001,8327.070759204,0.13174,,,3.9204922551,-0.8802823409
Colombia,2000,8308.2229499005,0.1297,,,3.9195081422,-0.8870600239
Croatia,2015,20759.0481463138,0.85439,,,4.3172074362,-0.0683438434
Croatia,2014,20136.2186593413,0.79104,,,4.3039779186,-0.1018015553
Croatia,2013,20153.4681736144,0.81455,,,4.3043497939,-0.089082252
Croatia,2012,20313.5370341477,0.75217,,,4.3077855502,-0.1236839922
Croatia,2011,20704.4371932848,0.75143,,,4.3160634296,-0.1241114702
Croatia,2010,20118.2108286706,0.74479,,,4.303589355,-0.1279661631
Croatia,2009,20414.1928479761,0.84416,,,4.3099322131,-0.0735752305
Croatia,2008,22014.7146824303,0.88333,,,4.3427130612,-0.0538770196
Croatia,2007,21564.5120242025,0.79301,,,4.3337396351,-0.1007213361
Croatia,2006,20489.85593493,0.74119,,,4.3115389049,-0.1300704487
Croatia,2005,19545.361263237,0.85619,,,4.291043702,-0.0674298489
Croatia,2004,18776.7371047218,1.03028,,,4.2736201257,0.0129552693
Croatia,2003,18036.1271816318,0.95216,,,4.2561432891,-0.0212900671
Croatia,2002,17086.4766914874,0.94623,,,4.2326525185,-0.0240032869
Croatia,2001,16234.7259306183,0.91772,,,4.2104449614,-0.0372898036
Croatia,2000,15745.3204570369,1.0455,,,4.1971515041,0.0193240372
Czech Republic,2015,30605.4205211471,1.94865,,,4.4857983511,0.2897338418
Czech Republic,2014,29119.6166119074,1.97458,,,4.4641856528,0.2954747338
Czech Republic,2013,28379.7461179156,1.89886,,,4.453008506,0.2784929461
Czech Republic,2012,28527.1387345992,1.78227,,,4.4552582142,0.2509734969
Czech Republic,2011,28797.4179611691,1.55716,,,4.4593535497,0.1923332391
Czech Republic,2010,28352.9493964403,1.3411,,,4.4525982428,0.1274611625
Czech Republic,2009,27803.5871622193,1.29782,,,4.4441008313,0.1132144626
Czech Republic,2008,29373.1092319296,1.2406,,,4.4679499203,0.0936317768
Czech Republic,2007,28844.0671946539,1.30572,,,4.4600564986,0.1158500563
Czech Republic,2006,27473.6271233445,1.23271,,,4.4389159996,0.0908609191
Czech Republic,2005,25781.2047057911,1.17011,,,4.4113032072,0.0682266909
Czech Republic,2004,24233.5969865534,1.1465,,,4.3844178811,0.0593740591
Czech Republic,2003,23107.2038753806,1.15166,,,4.3637473962,0.061324283
Czech Republic,2002,22297.2247461099,1.10682,,,4.3482508114,0.0440769981
Czech Republic,2001,21892.48252523,1.10691,,,4.3402950117,0.0441123109
Czech Republic,2000,21193.9017140583,1.1176,,,4.326210916,0.0482863931
Denmark,2015,45458.697148831,3.01387,,,4.6576169846,0.4791245156
Denmark,2014,45057.0741699595,2.97589,,,4.6537629869,0.473616874
Denmark,2013,44564.4521554649,3.01688,,,4.648988572,0.4795580359
Denmark,2012,44336.8124612297,3.00504,,,4.6467644669,0.4778502573
Denmark,2011,44403.3941459257,2.97177,,,4.6474161684,0.4730151942
Denmark,2010,43998.4366716285,2.93477,,,4.6434372456,0.467574071
Denmark,2009,43382.6254590015,3.07684,,,4.6373158314,0.4881049129
Denmark,2008,45865.7959577936,2.77572,,,4.6614889347,0.4433756547
Denmark,2007,46373.5166625592,2.51374,,,4.6662700312,0.4003203559
Denmark,2006,46159.9137391637,2.40624,,,4.6642649886,0.381338942
Denmark,2005,44567.9313092661,2.38733,,,4.6490224761,0.3779124556
Denmark,2004,43670.4452995124,2.41276,,,4.6401876204,0.3825141243
Denmark,2003,42645.5831253435,2.50518,,,4.6298740572,0.3988389359
Denmark,2002,42595.5872217462,2.44191,,,4.6293646098,0.3877296534
Denmark,2001,42533.5392582329,2.32725,,,4.6287315223,0.366843039
Ecuador,2014,10901.4185562194,0.44148,,,4.0374830146,-0.3550889661
Ecuador,2013,10665.4625828373,0.3799,,,4.0279796964,-0.4203307064
Ecuador,2012,10322.1789023463,0.33236,,,4.0137713819,-0.4783912497
Ecuador,2011,9926.9034410961,0.33991,,,3.9968137975,-0.4686360585
Ecuador,2010,9352.3442368159,0.40297,,,3.9709204838,-0.3947272847
Ecuador,2009,9183.5525578289,0.39463,,,3.9630107158,-0.4038099025
Ecuador,2008,9285.8644065728,0.22779,,,3.9678223378,-0.6424653454
Ecuador,2007,8879.6368541059,0.13194,,,3.948395205,-0.8796235203
Ecuador,2006,8837.3806858168,0.12863,,,3.9463235634,-0.8906577304
Ecuador,2003,7808.1922007301,0.05735,,,3.8925504951,-1.2414665778
Ecuador,2002,7727.7173487883,0.05534,,,3.8880512288,-1.2569608452
Ecuador,2001,7550.2572750942,0.0515,,,3.8779617505,-1.288192771
"Egypt, Arab Rep.",2015,10095.6101677121,0.72269,,,4.0041325724,-0.1410479547
"Egypt, Arab Rep.",2014,9879.799358553,0.64558,,,3.9947481249,-0.1900499325
"Egypt, Arab Rep.",2013,9814.2121302138,0.64603,,,3.9918554408,-0.189747314
"Egypt, Arab Rep.",2012,9822.4201805469,0.51349,,,3.9922185083,-0.2894680097
"Egypt, Arab Rep.",2011,9823.8232867571,0.53197,,,3.9922805417,-0.2741128587
"Egypt, Arab Rep.",2010,9857.4682819007,0.43223,,,3.9937653883,-0.3642850931
"Egypt, Arab Rep.",2009,9561.8475685687,0.43404,,,3.9805418161,-0.3624702452
"Egypt, Arab Rep.",2008,9305.4149547161,0.27009,,,3.9687357443,-0.5684914951
"Egypt, Arab Rep.",2007,8838.5247955126,0.25503,,,3.9463797846,-0.5934087291
"Egypt, Arab Rep.",2006,8398.8745351146,0.2589,,,3.9242210937,-0.5868679496
"Egypt, Arab Rep.",2005,8001.5165405876,0.24119,,,3.9031723073,-0.6176407025
"Egypt, Arab Rep.",2004,7800.3489186197,0.2701,,,3.8921140296,-0.5684754158
"Egypt, Arab Rep.",2000,7388.3564111233,0.19253,,,3.8685478375,-0.7155015892
Estonia,2015,27549.5813697378,1.49502,,,4.4401150039,0.1746470026
Estonia,2014,27113.6859213723,1.45122,,,4.433188561,0.161733255
Estonia,2013,26282.9088374806,1.72601,,,4.4196734287,0.2370433076
Estonia,2012,25691.9996357991,2.12265,,,4.4097979072,0.32687839
Estonia,2011,24543.0674715452,2.30655,,,4.3899288413,0.3629628734
Estonia,2010,22740.9720038708,1.58162,,,4.3568090235,0.1991021481
Estonia,2009,22187.9264018728,1.39541,,,4.3461167166,0.144701831
Estonia,2008,25968.9728072711,1.25952,,,4.4144547716,0.1002050681
Estonia,2007,27383.4695578858,1.06884,,,4.4374884735,0.0289126984
Estonia,2006,25298.646049925,1.11666,,,4.4030972789,0.0479209595
Estonia,2005,22807.1827469547,0.92364,,,4.3580716424,-0.0344972674
Estonia,2004,20733.538079237,0.85193,,,4.3166734187,-0.0695960882
Estonia,2003,19389.4423083658,0.76777,,,4.2875653178,-0.1147688616
Estonia,2002,17937.8319791363,0.71649,,,4.2537699517,-0.1447898666
Estonia,2001,16803.5186789525,0.69946,,,4.2254002331,-0.1552371164
Estonia,2000,15703.0274678557,0.60009,,,4.1959833904,-0.2217836103
Finland,2015,38941.7636030551,2.90474,,,4.5904156161,0.4631072653
Finland,2014,39017.5372069548,3.17663,,,4.5912598532,0.501966633
Finland,2013,39428.3120606313,3.29266,,,4.5958081852,0.5175468878
Finland,2012,39912.9413580065,3.41594,,,4.601113734,0.5335102338
Finland,2011,40683.5275821703,3.63639,,,4.6094186026,0.5606704548
Finland,2010,39848.1344978775,3.72797,,,4.6004079946,0.5714724088
Finland,2009,38867.7994464569,3.74943,,,4.5895899532,0.5739652499
Finland,2008,42574.6411365042,3.5418,,,4.629150996,0.5492240336
Finland,2007,42467.2609961997,3.33833,,,4.6280542513,0.5235292653
Finland,2006,40546.0807261049,3.33017,,,4.6079488807,0.5224664041
Finland,2005,39115.7647931549,3.33762,,,4.592351826,0.5234368892
Finland,2004,38188.2510919027,3.32495,,,4.5819297694,0.5217851188
Finland,2003,36852.4439237464,3.29278,,,4.566466294,0.5175627152
Finland,2002,36218.2401573648,3.26376,,,4.5589273441,0.5137182155
Finland,2001,35706.1533300355,3.20765,,,4.5527430656,0.5061869745
Finland,2000,34887.1787990067,3.25192,,,4.542665851,0.512139853
France,2015,37765.7508688631,2.23135,,,4.5770981239,0.3485676972
France,2014,37531.4282697726,2.23919,,,4.5743950919,0.3500909459
France,2013,37366.9307216323,2.23406,,,4.5724874268,0.3490948328
